 [2026-04-11T02:14:18.377Z] Bridge server on http://localhost:3000  (log: /home/mithun/Documents/inftok/browser-ai-mcp-bridge/backend/bridge.log)
[2026-04-11T02:14:33.887Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:33.946Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.010Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.016Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.064Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.139Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.287Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.446Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.465Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.510Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.548Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:34.692Z] [Browser:info] (HTTP) [v2.3-DIRECT] AI done — sending AI_COMPLETE
[2026-04-11T02:14:34.698Z] [Relay] AI_COMPLETE received (HTTP, turns: 1, state: WAITING_FOR_AI)
[2026-04-11T02:14:34.699Z] [Session] Final answer after 0 tool calls
[2026-04-11T02:14:34.718Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:34.743Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:34.949Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:34.954Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.096Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.232Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.350Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.352Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.400Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.722Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.766Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.852Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.856Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:35.934Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.287Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.304Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.348Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.543Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.584Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.671Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.674Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.823Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:36.856Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:37.075Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:37.260Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:37.317Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:37.483Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:37.499Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:37.806Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:37.841Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:37.846Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.181Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.245Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.272Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.301Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.376Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.382Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
